"",Date,Index,Cases
"9",2011-09-01,63,1
"10",2011-09-02,64,2
"11",2011-09-03,65,0
"12",2011-09-04,66,0
"13",2011-09-05,67,0
"14",2011-09-06,68,0
"15",2011-09-07,69,0
"16",2011-09-08,70,0
"17",2011-09-09,71,1
"18",2011-09-10,72,0
"19",2011-09-11,73,0
"20",2011-09-12,74,0
"21",2011-09-13,75,0
"22",2011-09-14,76,0
"23",2011-09-15,77,1
"24",2011-09-16,78,2
"25",2011-09-17,79,0
"26",2011-09-18,80,0
"27",2011-09-19,81,1
"28",2011-09-20,82,0
"29",2011-09-21,83,0
"30",2011-09-22,84,2
"31",2011-09-23,85,1
"32",2011-09-24,86,4
"33",2011-09-25,87,2
"34",2011-09-26,88,3
"35",2011-09-27,89,2
"36",2011-09-28,90,2
"37",2011-09-29,91,4
"38",2011-09-30,92,1
"39",2011-10-01,93,3
"40",2011-10-02,94,3
"41",2011-10-03,95,4
"42",2011-10-04,96,3
"43",2011-10-05,97,3
"44",2011-10-06,98,9
"45",2011-10-07,99,1
"46",2011-10-08,100,1
"47",2011-10-09,101,7
"48",2011-10-10,102,5
"49",2011-10-11,103,4
"50",2011-10-12,104,1
"51",2011-10-13,105,2
"52",2011-10-14,106,4
"53",2011-10-15,107,7
"54",2011-10-16,108,3
"55",2011-10-17,109,6
"56",2011-10-18,110,6
"57",2011-10-19,111,4
"58",2011-10-20,112,8
"59",2011-10-21,113,6
"60",2011-10-22,114,7
"61",2011-10-23,115,2
"62",2011-10-24,116,6
"63",2011-10-25,117,7
"64",2011-10-26,118,5
"65",2011-10-27,119,7
"66",2011-10-28,120,9
"67",2011-10-29,121,10
"68",2011-10-30,122,14
"69",2011-10-31,123,9
"70",2011-11-01,124,4
"71",2011-11-02,125,5
"72",2011-11-03,126,7
"73",2011-11-04,127,10
"74",2011-11-05,128,11
"75",2011-11-06,129,17
"76",2011-11-07,130,6
"77",2011-11-08,131,13
"78",2011-11-09,132,13
"79",2011-11-10,133,14
"80",2011-11-11,134,13
"81",2011-11-12,135,12
"82",2011-11-13,136,12
"83",2011-11-14,137,15
"84",2011-11-15,138,16
"85",2011-11-16,139,12
"86",2011-11-17,140,14
"87",2011-11-18,141,11
"88",2011-11-19,142,17
"89",2011-11-20,143,10
"90",2011-11-21,144,10
"91",2011-11-22,145,16
"92",2011-11-23,146,12
"93",2011-11-24,147,17
"94",2011-11-25,148,29
"95",2011-11-26,149,21
"96",2011-11-27,150,21
"97",2011-11-28,151,25
"98",2011-11-29,152,17
"99",2011-11-30,153,12
"100",2011-12-01,154,18
"101",2011-12-02,155,11
"102",2011-12-03,156,12
"103",2011-12-04,157,10
"104",2011-12-05,158,18
"105",2011-12-06,159,8
"106",2011-12-07,160,14
"107",2011-12-08,161,10
"108",2011-12-09,162,15
"109",2011-12-10,163,16
"110",2011-12-11,164,8
"111",2011-12-12,165,7
"112",2011-12-13,166,5
"113",2011-12-14,167,7
"114",2011-12-15,168,5
"115",2011-12-16,169,5
"116",2011-12-17,170,6
"117",2011-12-18,171,11
"118",2011-12-19,172,10
"119",2011-12-20,173,5
"120",2011-12-21,174,4
"121",2011-12-22,175,9
"122",2011-12-23,176,6
"123",2011-12-24,177,1
"124",2011-12-25,178,6
"125",2011-12-26,179,3
"126",2011-12-27,180,6
"127",2011-12-28,181,4
"128",2011-12-29,182,3
"129",2011-12-30,183,5
"130",2011-12-31,184,1
"131",2012-01-01,185,8
"132",2012-01-02,186,2
"133",2012-01-03,187,9
"134",2012-01-04,188,4
"135",2012-01-05,189,5
"136",2012-01-06,190,4
"137",2012-01-07,191,3
"138",2012-01-08,192,3
"139",2012-01-09,193,4
"140",2012-01-10,194,4
"141",2012-01-11,195,3
"142",2012-01-12,196,3
"143",2012-01-13,197,4
"144",2012-01-14,198,5
"145",2012-01-15,199,2
"146",2012-01-16,200,5
"147",2012-01-17,201,4
"148",2012-01-18,202,2
"149",2012-01-19,203,6
"150",2012-01-20,204,4
"151",2012-01-21,205,2
"152",2012-01-22,206,0
"153",2012-01-23,207,4
"154",2012-01-24,208,2
"155",2012-01-25,209,1
"156",2012-01-26,210,1
"157",2012-01-27,211,1
"158",2012-01-28,212,2
"159",2012-01-29,213,3
"160",2012-01-30,214,3
"161",2012-01-31,215,3
"162",2012-02-01,216,0
"163",2012-02-02,217,3
"164",2012-02-03,218,2
"165",2012-02-04,219,1
"166",2012-02-05,220,0
"167",2012-02-06,221,1
"168",2012-02-07,222,0
"169",2012-02-08,223,0
"170",2012-02-09,224,1
"171",2012-02-10,225,2
"172",2012-02-11,226,2
"173",2012-02-12,227,1
"174",2012-02-13,228,0
"175",2012-02-14,229,1
"176",2012-02-15,230,1
"177",2012-02-16,231,1
"178",2012-02-23,238,0
"179",2012-03-01,245,0
"180",2012-03-08,252,0
"181",2012-03-15,259,0
"182",2012-03-22,266,0
"183",2012-03-29,273,0
"184",2012-04-05,280,0
"185",2012-04-12,287,0
